Name (Institution or Individual),Startups,Investment Lists,Company (from Associated Startups),Startup Count,Investor Type,Contacts,Name (from Contacts),LinkedIn Profile,Notes
Justin Kan,recX8LzxoDPvh3Ul9,"SW+HW=Innovation (Robotics, Drones)",Built Robotics,1,Individual,,,,
Adam Winkel,recXm8Un0Soh6OLH1,"Extreme Analysis (CAE, CFD, FEA, QC)","Nullspace, Inc",1,Individual,,,,
David Peterson,recX8LzxoDPvh3Ul9,"SW+HW=Innovation (Robotics, Drones)",Built Robotics,1,Individual,,,,
Eden Chen,recVBqaNkXtojSij5,Bleeding Edge BIM (AEC/BIM),Kaedim,1,Individual,,,,
Reliance Industries,recS8MoNV9cbjkfJq,"SW+HW=Innovation (Robotics, Drones)",Addverb (acquired by Reliance Retail Ventures Ltd in 2022),1,Individual,,,,
Matt Berger,recXm8Un0Soh6OLH1,"Extreme Analysis (CAE, CFD, FEA, QC)","Nullspace, Inc",1,Individual,,,,
MaRS,recURcAFYawCUAkDO,"SW+HW=Innovation (Robotics, Drones)",MosaicMFG,1,Institutional Investors,,,,
Seth Lawry,recWlsfk4NFkADxhz,"Factory Futures (MES, IIOT)",HighByte,1,Individual,,,,
Sean Dalton,recXZJPY5pSC8Lq2x,"Knowledge Engineering (R&D, Learning)",Parallel Fluidics,1,Individual,,,,
U.S. Department of Commerce,recUBVrVX9YykFDiq,"Extreme Analysis (CAE, CFD, FEA, QC)",Intact Solutions,1,Institutional Investors,,,,
University of Nevada,recXEBRKiIplMHT2E,Bleeding Edge BIM (AEC/BIM),AeroAI,1,Institutional Investors,,,,
Piva Capital,recRtWQzDsbczClOl,"SW+HW=Innovation (Robotics, Drones)",Alloy Enterprises,1,Institutional Investors,,,,
founders of Dropbox,recSVLREj85ksFafe,Design Intelligence (CAD),camfer,1,Institutional Investors,,,,
Daren Cotter,recXZJPY5pSC8Lq2x,"Knowledge Engineering (R&D, Learning)",Parallel Fluidics,1,Individual,,,,
Praxis,recXZJPY5pSC8Lq2x,"Knowledge Engineering (R&D, Learning)",Parallel Fluidics,1,Institutional Investors,,,,
IRAP,recURcAFYawCUAkDO,"SW+HW=Innovation (Robotics, Drones)",MosaicMFG,1,Institutional Investors,,,,
Sahin Boydas,recS7EiBi50k6R3ZB,"SW+HW=Innovation (Robotics, Drones)",Machina Labs,1,Individual,,,,
