Name (Institution or Individual),Startups,Startup Count,Investment Lists,LinkedIn Profile,Email,Notes,Contacts,Investor Type
Airbus Ventures,nTop,1,Design Intelligence (CAD),,,,,VC Fund
Alstin Capital,etalytics,1,"""Factory Futures (MES, IIOT)""",,,,,Institutional Investors
2100 Ventures,Ewake,1,"""SW+HW=Innovation (Robotics, Drones)""",,,,,VC Fund
50partners,Ewake,1,"""SW+HW=Innovation (Robotics, Drones)""",,,,,Institutional Investors
Amirhossein Malekzadeh,Ewake,1,"""SW+HW=Innovation (Robotics, Drones)""",,,,,Individual
Hyperplan Venture,Ewake,1,"""SW+HW=Innovation (Robotics, Drones)""",,,,,VC Fund
Long River Ventures,Ewake,1,"""SW+HW=Innovation (Robotics, Drones)""",,,,,VC Fund
Mass Ventures,Ewake,1,"""SW+HW=Innovation (Robotics, Drones)""",,,,,VC Fund
Firebolt Ventures,Ewake,1,"""SW+HW=Innovation (Robotics, Drones)""",,,,,VC Fund
Brendan Iribe,VNTANA,1,Design Intelligence (CAD),,,,,Individual
Chloe Capital,VNTANA,1,Design Intelligence (CAD),,,,,Institutional Investors
TYLT Ventures,VNTANA,1,Design Intelligence (CAD),,,,,VC Fund
Anorak Ventures,VNTANA,1,Design Intelligence (CAD),,,,,VC Fund
Forward Deployed VC,Silkline,1,Streamlined Supply Chain (SCM),,,,,Individual
25 Madison,Silkline,1,Streamlined Supply Chain (SCM),,,,,Institutional Investors
Plow Ventures,Silkline,1,Streamlined Supply Chain (SCM),,,,,VC Fund
Matchstick Ventures,Silkline,1,Streamlined Supply Chain (SCM),,,,,VC Fund
Barrel Ventures,Silkline,1,Streamlined Supply Chain (SCM),,,,,VC Fund
Orano Venture Fund,Dessia,1,"""Cognitive Thread (PLM, MBSE, DT)""",,,,,VC Fund
Go Capital,Dessia,1,"""Cognitive Thread (PLM, MBSE, DT)""",,,,,Institutional Investors
Companyon Ventures,Ewake,1,"""SW+HW=Innovation (Robotics, Drones)""",,,GP at Companyon Ventures | Early-stage AI & B2B investors focused on the $1M to $100M ARR journey.,Firas Raouf,Individual
Anticus Partners,Productive Machines,1,"""Adaptive Manufacturing (AM, CAM, CNC)""",,,,,
Aleph,Jiga,1,Streamlined Supply Chain (SCM),,,,,
Symbol,Jiga,1,Streamlined Supply Chain (SCM),,,,,
Investissement Québec,Vention,1,"""SW+HW=Innovation (Robotics, Drones)""",,,,,
Desjardins Capital,Vention,1,"""SW+HW=Innovation (Robotics, Drones)""",,,,,
XYZ Ventures,Nominal,1,"""Factory Futures (MES, IIOT)""",,,,,
Overmatch,Nominal,1,"""Factory Futures (MES, IIOT)""",,,,,
Fusion Fund,CVector,1,"""Augmented Operations (MOM, CMMS, AR/VR, SLM)""",,,,,
family offices,ORIS Connect,1,Bleeding Edge BIM (AEC/BIM),,,,,
G2VP,Fictiv (Acquired by MISUMI in 2025),1,"""Factory Futures (MES, IIOT)""",,,,,
AP Ventures,General Lattice,1,"""Adaptive Manufacturing (AM, CAM, CNC)""",,,,,
Transpose Platform,BQP,1,"""Extreme Analysis (CAE, CFD, FEA, QC)""",,,,,
40 North Ventures,Fictiv (Acquired by MISUMI in 2025),1,"""Factory Futures (MES, IIOT)""",,,,,
Summit Partners. Bessemer. ScOp VC,ChipAgents,1,Design Intelligence (CAD),,,,,
i4Valley,FVMat,1,"""Extreme Analysis (CAE, CFD, FEA, QC)""",,,,,
Shield Capital,Arena,1,Design Intelligence (CAD),,,,,
Finance Yorkshire Growth Fund,Bombiix,1,"""Cognitive Thread (PLM, MBSE, DT)""",,,,,
Archimedes New Ventures,United Manufacturing Hub,1,"""Factory Futures (MES, IIOT)""",,,,,
Spinout of exentra GmbH,explore,1,"""Cognitive Thread (PLM, MBSE, DT)""",,,,,
Lorain County Growth Partnership,ABĒMIS llc,1,"""Adaptive Manufacturing (AM, CAM, CNC)""",,,,,
East coast angels,Canvas Envision,1,"""Cognitive Thread (PLM, MBSE, DT)""",,,,,
DnA Ventures,United Manufacturing Hub,1,"""Factory Futures (MES, IIOT)""",,,,,
Garuda Ventures and others,Arena,1,Design Intelligence (CAD),,,,,
imec.istart,Airshaper,1,"""Extreme Analysis (CAE, CFD, FEA, QC)""",,,,,
General Catalyst (lead Series A,PhysicsX,1,"""Extreme Analysis (CAE, CFD, FEA, QC)""",,,,,
MISUMI,Fictiv (Acquired by MISUMI in 2025),1,"""Factory Futures (MES, IIOT)""",,,,,
Made Smarter Innovation,Voxshell,1,"""Extreme Analysis (CAE, CFD, FEA, QC)""",,,,,
German Accelerator,Dive CAE,1,"""Extreme Analysis (CAE, CFD, FEA, QC)""",,,,,
No publicly disclosed investors,TwinMo,1,"""Factory Futures (MES, IIOT)""",,,,,
Freigeist,United Manufacturing Hub,1,"""Factory Futures (MES, IIOT)""",,,,,
Founder + local investors,BetterFutures,1,"""Cognitive Thread (PLM, MBSE, DT)""",,,,,
Lorain County Commissioners,ABĒMIS llc,1,"""Adaptive Manufacturing (AM, CAM, CNC)""",,,,,
Other business angels,Assemblio,1,"""Factory Futures (MES, IIOT)""",,,,,
Powerhouse Ventures,CVector,1,"""Augmented Operations (MOM, CMMS, AR/VR, SLM)""",,,,,
Lorain County Community College,ABĒMIS llc,1,"""Adaptive Manufacturing (AM, CAM, CNC)""",,,,,
