Company,Estimated Headcount,Lastest Funding Event Year,Latest Event Funding Amount,Total Current Known Funding Level,Current Estimated Annual Revenue,Estimated Market Value,Founded,Market Opportunity,Team & Execution,Technology Differentiation,Funding Efficiency,Growth Metrics,Industry Impact,Competitive Moat,Weighted Score,Score Financial,Customer Signal Score,Est. Revenue by ARR or HC,Weighted Startup Quality Score,ARR Multiple,Estimated Valuation,Funding Floor,Estimated Value Final,ARR per Employee,Annual Burn Proxy,Runway Proxy (Months),Startup Size Category,Capital Efficiency,Runway Quality,Net Burn Level,Financial Confidence
CadAICo,9,2024,$0.0,$1000000.0,$3000000.0,$5000000.0,2022,4.5,3.6,3.7,4.0,3.6,3.7,3.5,3.87,10,2,$3M,4,7,$21M,$2M,$21M,$333333.3,$1.8M,2,Small,High,Critical,Low,Strong
Infinitive (formerly CAE Tech),25,2024,$0.0,$0.0,$3000000.0,$35000000.0,2021,3.9,4.2,3.7,4.1,3.6,3.7,3.3,3.87,10,8,$3M,4,7,$21M,$0M,$21M,$120000.0,$5M,5,Medium,Medium,Critical,Moderate,Medium
RD8,35,2021,$0.0,$0.0,$0.0,$5000000.0,2021,3.5,4.0,4.5,3.5,4.0,3.5,3.7,3.86,5,8,$0M,4,7,$0M,$0M,$0M,$0.0,$7M,7,Small,Medium,High Risk,Moderate,Medium
Reynko,12,2023,$800000.0,$900000.0,$1000000.0,$20000000.0,2023,3.9,3.7,4.5,3.0,3.6,3.9,3.9,3.82,10,2,$1M,4,7,$7M,$1.8M,$7M,$83333.3,$2.4M,2,Medium,High,Critical,Low,Strong
Leopoly,32,2024,$200000.0,$200000.0,$4000000.0,$40000000.0,2015,4.4,4.4,3.3,3.0,3.8,3.6,3.8,3.80,10,2,$4M,4,7,$28M,$0.4M,$28M,$125000.0,$6.4M,6,Medium,High,High Risk,Moderate,Strong
Donut Labs,40,2023,$15000000.0,$15000000.0,$1000000.0,$10000000.0,2017,4.0,3.8,4.2,3.2,3.6,3.8,3.5,3.80,10,2,$1M,4,7,$7M,$30M,$30M,$25000.0,$8M,8,Small,High,High Risk,High,Strong
Hestus,6,2025,$1500000.0,$1500000.0,$2000000.0,$50000000.0,2022,4.5,3.3,3.5,4.0,3.7,3.8,3.5,3.79,10,2,$2M,4,7,$14M,$3M,$14M,$333333.3,$1.2M,1,Medium,High,Critical,Low,Strong
Monumo,35,2024,$14160000.0,$14160000.0,$0.0,$0.0,2021,4.1,3.7,4.1,3.4,3.2,3.9,3.7,3.79,5,2,$0M,4,7,$0.0M,$28.3M,$28.3M,$0.0,$7M,7,Small,Medium,High Risk,Moderate,Strong
C-Infinity,21,2024,$4000000.0,$4000000.0,$1000000.0,$5000000.0,2022,4.3,4.1,3.7,3.0,3.5,3.6,4.0,3.78,10,2,$1M,4,7,$7M,$8M,$8M,$47619.0,$4.2M,4,Small,High,Critical,Moderate,Strong
Five Flute,8,2022,$1200000.0,$1200000.0,$1000000.0,$5000000.0,2023,3.9,3.7,3.7,3.9,3.7,3.8,3.3,3.76,10,2,$1M,4,7,$7M,$2.4M,$7M,$125000.0,$1.6M,2,Small,High,Critical,Low,Strong
camfer,6,2024,$4800000.0,$4800000.0,$1000000.0,$20000000.0,2024,4.0,4.1,3.5,4.0,3.0,3.7,3.2,3.75,10,2,$1M,4,7,$7M,$9.6M,$9.6M,$166666.7,$1.2M,1,Medium,High,Critical,Low,Strong
